#This file contains the following instrument response data for IceCube-79 WH data sample:
# 1. Histograms of Nchan response distributions for muon energy 
#    intervals of log10(E) = 0.2;
#    Nchan values are corrected for the higher photocathode density within DeepCore 
#
#All histograms are normalized to 1.  The file has the following column content:
#H [Histogram number]
#E [log10(E_nu); lower bound]  [log10(E_nu); upper bound]
#h [Histogram bin]   [Nchan]   [Bin content]
#
####
H  4
E  1.4  1.6
h  63  63  0.00078468
h  64  64  0.000579169
h  65  65  0.000560486
h  66  66  0.000616534
h  67  67  0.000205511
h  68  68  0.00039234
h  69  69  0.000280243
h  70  70  0.000317609
h  71  71  0.000373657
h  72  72  0.000168146
h  73  73  0.000336291
h  74  74  0.000298926
h  75  75  0.00013078
h  76  76  0.000112097
h  77  77  0.000168146
h  78  78  0.000242877
h  79  79  0.00013078
h  80  80  0.000205511
h  81  81  0.00013078
h  82  82  0.000112097
h  83  83  5.60486e-05
h  84  84  1.86829e-05
h  85  85  3.73657e-05
h  86  86  9.34143e-05
h  87  87  3.73657e-05
h  88  88  3.73657e-05
h  89  89  3.73657e-05
h  90  90  9.34143e-05
h  91  91  0
h  92  92  3.73657e-05
h  93  93  9.34143e-05
h  94  94  1.86829e-05
h  95  95  5.60486e-05
h  96  96  5.60486e-05
h  97  97  3.73657e-05
h  98  98  0
h  99  99  1.86829e-05
####
H  14
E  3.4  3.6
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  0
h  8  8  0
h  9  9  0.000154292
h  10  10  0.00169722
h  11  11  0.0056471
h  12  12  0.0104919
h  13  13  0.0169722
h  14  14  0.0218478
h  15  15  0.0282047
h  16  16  0.0299019
h  17  17  0.0362279
h  18  18  0.039036
h  19  19  0.0393137
h  20  20  0.0444362
h  21  21  0.0439733
h  22  22  0.0432636
h  23  23  0.0446214
h  24  24  0.0433562
h  25  25  0.0393754
h  26  26  0.0375856
h  27  27  0.0349627
h  28  28  0.0338209
h  29  29  0.0321237
h  30  30  0.0287601
h  31  31  0.026816
h  32  32  0.0240079
h  33  33  0.0234833
h  34  34  0.0232673
h  35  35  0.0196877
h  36  36  0.0196877
h  37  37  0.0186385
h  38  38  0.0166636
h  39  39  0.0164476
h  40  40  0.0154292
h  41  41  0.0153058
h  42  42  0.0129914
h  43  43  0.0121582
h  44  44  0.0119422
h  45  45  0.00947355
h  46  46  0.0081775
h  47  47  0.00722089
h  48  48  0.00589397
h  49  49  0.00567796
h  50  50  0.00521508
h  51  51  0.00459791
h  52  52  0.00373388
h  53  53  0.00339443
h  54  54  0.00314757
h  55  55  0.00317842
h  56  56  0.00243782
h  57  57  0.00243782
h  58  58  0.00212924
h  59  59  0.00222181
h  60  60  0.0020058
h  61  61  0.00145035
h  62  62  0.00129606
h  63  63  0.000833179
h  64  64  0.00141949
h  65  65  0.00138863
h  66  66  0.000894896
h  67  67  0.000771462
h  68  68  0.000802321
h  69  69  0.000864038
h  70  70  0.000802321
h  71  71  0.000370302
h  72  72  0.00061717
h  73  73  0.000555453
h  74  74  0.00061717
h  75  75  0.000246868
h  76  76  0.000216009
h  77  77  0.000339443
h  78  78  0.000216009
h  79  79  9.25755e-05
h  80  80  0.000339443
h  81  81  0.000308585
h  82  82  0.000185151
h  83  83  9.25755e-05
h  84  84  0.000277726
h  85  85  0.000154292
h  86  86  6.1717e-05
h  87  87  9.25755e-05
h  88  88  0.000123434
h  89  89  0
h  90  90  9.25755e-05
h  91  91  6.1717e-05
h  92  92  3.08585e-05
h  93  93  6.1717e-05
h  94  94  0.000123434
h  95  95  3.08585e-05
h  96  96  6.1717e-05
h  97  97  6.1717e-05
h  98  98  0
h  99  99  9.25755e-05
####
H  15
E  3.6  3.8
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  0
h  8  8  5.88374e-05
h  9  9  5.88374e-05
h  10  10  0.00135326
h  11  11  0.00453048
h  12  12  0.01012
h  13  13  0.0136503
h  14  14  0.0206519
h  15  15  0.0240056
h  16  16  0.0276536
h  17  17  0.0329489
h  18  18  0.0350671
h  19  19  0.0395387
h  20  20  0.0395976
h  21  21  0.0394799
h  22  22  0.0385973
h  23  23  0.0410685
h  24  24  0.0410685
h  25  25  0.0372441
h  26  26  0.0355966
h  27  27  0.0338903
h  28  28  0.0301247
h  29  29  0.0325371
h  30  30  0.0275359
h  31  31  0.0246529
h  32  32  0.0232996
h  33  33  0.0235938
h  34  34  0.0233584
h  35  35  0.0221817
h  36  36  0.0205342
h  37  37  0.0193575
h  38  38  0.0175924
h  39  39  0.01771
h  40  40  0.0174159
h  41  41  0.0159449
h  42  42  0.0156507
h  43  43  0.0140033
h  44  44  0.0124147
h  45  45  0.0121205
h  46  46  0.0100612
h  47  47  0.0106496
h  48  48  0.00911979
h  49  49  0.00753118
h  50  50  0.00717816
h  51  51  0.00511885
h  52  52  0.00482466
h  53  53  0.00453048
h  54  54  0.00411862
h  55  55  0.00364792
h  56  56  0.0044128
h  57  57  0.00335373
h  58  58  0.00341257
h  59  59  0.00311838
h  60  60  0.00276536
h  61  61  0.00253001
